0	55
0	181
1	11
2	16
3	16
3	79
4	5
4	126
5	16
5	4
6	7
6	184
7	6
8	56
8	153
9	141
10	25
10	72
10	60
11	171
11	1
12	113
12	116
13	193
13	186
14	107
14	145
15	82
15	26
16	2
16	5
16	83
16	3
17	188
17	181
17	44
18	94
18	161
19	35
19	95
20	145
20	177
21	22
22	21
22	75
23	43
23	82
23	40
23	42
24	47
24	172
24	116
24	25
25	24
25	10
26	15
26	119
26	29
26	41
27	49
27	136
28	72
28	65
29	149
29	26
30	31
31	88
31	30
32	108
33	75
33	120
34	38
34	59
35	78
35	19
36	61
36	138
36	85
37	172
37	192
38	190
38	34
39	41
39	42
40	70
40	23
41	159
41	82
41	26
41	39
42	39
42	188
42	23
42	113
43	44
43	23
44	181
44	43
44	105
44	125
44	17
45	172
45	60
46	137
47	48
47	24
48	112
48	165
48	189
48	47
49	139
49	27
50	51
50	167
51	187
51	50
52	175
52	84
53	127
53	194
55	81
55	0
56	136
56	8
57	130
57	105
58	97
58	93
59	34
60	45
60	162
60	10
61	182
61	36
61	86
61	135
62	71
62	143
63	153
63	89
64	122
64	193
64	141
64	191
65	28
66	181
66	68
67	119
67	177
68	66
68	79
69	111
69	71
70	85
70	40
70	156
70	86
71	69
71	62
72	10
72	28
73	178
73	74
74	73
74	121
75	22
75	33
76	106
76	80
77	80
78	79
78	35
79	68
79	78
79	3
79	130
80	185
80	77
80	76
80	94
81	55
81	109
82	41
82	182
82	23
82	15
83	109
83	16
84	52
84	107
85	133
85	70
85	36
86	70
86	61
87	135
88	154
88	31
89	63
89	92
90	174
90	179
91	110
92	89
92	102
93	58
93	190
94	95
94	152
94	80
94	18
95	19
95	94
96	98
96	97
97	96
97	58
98	99
98	96
99	142
99	98
100	125
100	115
101	126
101	183
102	92
102	155
104	140
104	118
105	57
105	44
106	166
106	76
107	84
107	14
108	143
108	32
109	169
109	83
109	81
110	91
110	112
111	134
111	69
112	110
112	48
113	42
113	12
114	128
115	100
115	156
116	168
116	176
116	12
116	24
118	104
118	149
119	26
119	67
119	159
120	33
120	133
121	74
121	187
122	162
122	64
123	124
123	154
124	158
124	123
125	144
125	100
125	44
126	4
126	101
127	128
127	53
128	114
128	127
129	163
130	79
130	144
130	161
130	57
131	194
131	166
132	148
132	178
133	120
133	85
134	137
134	111
135	61
135	87
136	27
136	56
137	46
137	134
138	36
138	139
139	138
139	49
140	104
140	173
141	9
141	64
142	99
143	62
143	108
144	130
144	125
145	14
145	20
146	147
146	159
147	165
147	146
148	132
149	118
149	29
150	152
150	151
151	150
152	94
152	150
153	8
153	63
154	123
154	88
155	102
156	115
156	70
157	164
158	180
158	124
159	146
159	41
159	119
160	161
161	18
161	130
161	160
162	60
162	122
163	192
163	129
164	184
164	157
165	48
165	147
165	177
166	106
166	131
167	50
167	175
168	116
169	192
169	109
170	183
170	185
171	186
171	11
172	24
172	176
172	45
172	37
173	140
173	174
174	173
174	90
175	167
175	52
176	116
176	172
177	67
177	189
177	20
177	165
178	132
178	73
179	90
179	180
180	179
180	158
181	0
181	44
181	17
181	66
182	82
182	61
183	101
183	170
184	6
184	164
185	170
185	80
186	13
186	171
187	121
187	51
188	42
188	17
189	177
189	48
190	93
190	38
191	64
191	192
192	191
192	169
192	37
192	163
193	64
193	13
194	53
194	131
